Country Name,Country Code,2011,2012,2013,2014,2015
Aruba,ABW,102053,102577,103187,103795,104341
Afghanistan,AFG,29708599,30696958,31731688,32758020,33736494
Angola,AGO,24218565,25096150,25998340,26920466,27859305
Albania,ALB,2905195,2900401,2895092,2889104,2880703
Andorra,AND,83751,82431,80788,79223,78014
Arab World,ARB,364895878,373306993,381702086,390043028,398304960
United Arab Emirates,ARE,8672475,8900453,9006263,9070867,9154302
Argentina,ARG,41656879,42096739,42539925,42981515,43417765
Armenia,ARM,2875581,2881922,2893509,2906220,2916950
American Samoa,ASM,55320,55230,55307,55437,55537
Antigua and Barbuda,ATG,95719,96777,97824,98875,99923
Australia,AUS,22340024,22742475,23145901,23504138,23850784
Austria,AUT,8391643,8429991,8479375,8541575,8633169
Azerbaijan,AZE,9173082,9295784,9416801,9535079,9649341
Burundi,BDI,9043508,9319710,9600186,9891790,10199270
Belgium,BEL,11047744,11128246,11182817,11209057,11274196
Benin,BEN,9460802,9729160,10004451,10286712,10575952
Burkina Faso,BFA,16081904,16571216,17072723,17585977,18110624
Bangladesh,BGD,153911916,155727053,157571292,159405279,161200886
Bulgaria,BGR,7348328,7305888,7265115,7223938,7177991
Bahrain,BHR,1278269,1300217,1315411,1336397,1371855
"Bahamas, The",BHS,366568,372039,377240,382169,386838
Bosnia and Herzegovina,BIH,3688865,3648200,3604999,3566002,3535961
Belarus,BLR,9473172,9464495,9465997,9474511,9489616
Belize,BLZ,329192,336701,344181,351694,359288
Bermuda,BMU,64564,64798,65001,65139,65250
Bolivia,BOL,10078343,10239004,10400264,10562159,10724705
Brazil,BRA,198686688,200560983,202408632,204213133,205962108
Barbados,BRB,280601,281585,282509,283385,284217
Brunei Darussalam,BRN,394013,399748,405716,411704,417542
Bhutan,BTN,740510,752967,764961,776448,787386
Botswana,BWA,2051339,2089315,2128507,2168573,2209197
Central African Republic,CAF,4476153,4490416,4499653,4515392,4546100
Canada,CAN,34342780,34750545,35152370,35535348,35832513
Central Europe and the Baltics,CEB,104174038,103935318,103713726,103496179,103257751
Switzerland,CHE,7912398,7996861,8089346,8188649,8282396
Channel Islands,CHI,160497,161358,162180,162969,163758
Chile,CHL,17153357,17309746,17462982,17613798,17762681
China,CHN,1344130000,1350695000,1357380000,1364270000,1371220000
Cote d'Ivoire,CIV,20895311,21418603,21966312,22531350,23108472
Cameroon,CMR,20520447,21082383,21655715,22239904,22834522
"Congo, Dem. Rep.",COD,66713597,68978682,71316033,73722860,76196619
"Congo, Rep.",COG,4512730,4633363,4751393,4871101,4995648
Colombia,COL,46406646,46881475,47342981,47791911,48228697
Comoros,COM,706569,723868,741500,759385,777424
Cabo Verde,CPV,508067,513979,520106,526437,532913
Costa Rica,CRI,4600474,4654122,4706401,4757575,4807852
Caribbean small states,CSS,7029022,7074129,7118888,7162679,7204948
Cuba,CUB,11354651,11382146,11412167,11439767,11461432
Curacao,CUW,150831,152088,153822,155909,157980
Cayman Islands,CYM,56579,57523,58371,59172,59963
Cyprus,CYP,1124835,1135062,1143896,1152309,1160985
Czech Republic,CZE,10496088,10510785,10514272,10525347,10546059
Germany,DEU,80274983,80425823,80645605,80982500,81686611
Djibouti,DJI,865937,881185,896688,912164,927414
Dominica,DMA,71718,72044,72400,72778,73162
Denmark,DNK,5570572,5591572,5614932,5643475,5683483
Dominican Republic,DOM,10027095,10154950,10281296,10405844,10528394
Algeria,DZA,36819558,37565847,38338562,39113313,39871528
East Asia & Pacific (excluding high income),EAP,1980303926,1994651365,2009173000,2023837097,2038410865
Early-demographic dividend,EAR,2953406021,2997066325,3040700765,3084236443,3127578757
East Asia & Pacific,EAS,2221934234,2237082761,2252310372,2267745316,2283107673
Europe & Central Asia (excluding high income),ECA,405521953,407706585,410126644,412510951,414975737
Europe & Central Asia,ECS,891094963,894666668,898855116,903094669.5,907393322
Ecuador,ECU,15177355,15419666,15661547,15903112,16144368
"Egypt, Arab Rep.",EGY,85897561,87813257,89807433,91812566,93778172
Euro area,EMU,335425830,336167295,337296876,338429647.5,339486064
Eritrea,ERI,4474690,,,,
Spain,ESP,46742697,46773055,46620045,46480882,46444832
Estonia,EST,1327439,1322696,1317997,1314545,1315407
Ethiopia,ETH,90046756,92444183,94887724,97366774,99873033
European Union,EUU,504012081,505104333,506592460,508157248.5,509670169
Fragile and conflict affected situations,FCS,449398455,460228236,471253115,482474449,493919601
Finland,FIN,5388272,5413971,5438972,5461512,5479531
Fiji,FJI,867086,873596,879715,885806,892149
France,FRA,65342775,65659789,65998573,66331958.5,66624068
Faroe Islands,FRO,48608,48666,48747,48842,48965
"Micronesia, Fed. Sts.",FSM,103468,103503,103702,104015,104433
Gabon,GAB,1697101,1756817,1817271,1875713,1930175
United Kingdom,GBR,63258918,63700300,64128226,64613160,65128861
Georgia,GEO,3875000,3825000,3776000,3727000,3717100
Ghana,GHA,25121796,25733049,26346251,26962563,27582821
Gibraltar,GIB,33405,33623,33831,34038,34228
Guinea,GIN,11035170,11281469,11536615,11805509,12091533
"Gambia, The",GMB,1746363,1802125,1859324,1917852,1977590
Guinea-Bissau,GNB,1596154,1638139,1681495,1725744,1770526
Equatorial Guinea,GNQ,994290,1038593,1083746,1129424,1175389
Greece,GRC,11104899,11045011,10965211,10892413,10820883
Grenada,GRD,105075,105481,105909,106360,106823
Greenland,GRL,56890,56810,56483,56295,56114
Guatemala,GTM,14948919,15271056,15596214,15923559,16252429
Guam,GUM,159678,159973,160375,160967,161797
Guyana,GUY,749100,753091,758081,763393,768514
High income,HIC,1155001498,1161912763,1168863948,1175992265,1182932407
"Hong Kong SAR, China",HKG,7071600,7150100,7178900,7229500,7291300
Honduras,HND,8351600,8505646,8657785,8809216,8960829
Heavily indebted poor countries (HIPC),HPC,648053253,666488623,685401960,704745420,724482652
Croatia,HRV,4280622,4267558,4255689,4238389,4203604
Haiti,HTI,10145054,10289210,10431776,10572466,10711061
Hungary,HUN,9971727,9920362,9893082,9866468,9843028
IBRD only,IBD,4474450394,4519551249,4564884790,4610016582,4654715802
IDA & IBRD total,IBT,5880130776,5957667513,6036112743,6114994143,6194063973
IDA total,IDA,1405680382,1438116264,1471227953,1504977561,1539348171
IDA blend,IDB,463997812,474993526,486261860,497751634,509396383
Indonesia,IDN,245707511,248883232,252032263,255131116,258162113
IDA only,IDX,941682570,963122738,984966093,1007225927,1029951788
Isle of Man,IMN,80759,81406,82013,82590,83167
India,IND,1247236029,1263065852,1278562207,1293859294,1309053980
Not classified,INX,,,,,
Ireland,IRL,4576794,4586897,4598294,4617225,4646554
"Iran, Islamic Rep.",IRN,75491582,76453574,77435384,78411092,79360487
Iraq,IRQ,31727053,32776571,33883145,35006080,36115649
Iceland,ISL,319014,320716,323764,327386,330815
Israel,ISR,7765800,7910500,8059500,8215700,8380100
Italy,ITA,59379449,59539717,60233948,60789140,60730582
Jamaica,JAM,2829493,2840992,2851807,2862087,2871934
Jordan,JOR,7574943,7992573,8413464,8809306,9159302
Japan,JPN,127833000,127629000,127445000,127276000,127141000
Kazakhstan,KAZ,16556600,16791425,17035275,17289224,17544126
Kenya,KEN,42486839,43646629,44826849,46024250,47236259
Kyrgyz Republic,KGZ,5514600,5607200,5719600,5835500,5956900
Cambodia,KHM,14537886,14776866,15022692,15270790,15517635
Kiribati,KIR,104656,106613,108535,110458,112407
St. Kitts and Nevis,KNA,52006,52591,53169,53739,54288
"Korea, Rep.",KOR,49936638,50199853,50428893,50746659,51014947
Kuwait,KWT,3191051,3395556,3598385,3782450,3935794
Latin America & Caribbean (excluding high income),LAC,576648286,583515410,590319145,597035363,603644865
Lao PDR,LAO,6333487,6415169,6494557,6576397,6663967
Lebanon,LBN,4588368,4916404,5276102,5603279,5851479
Liberia,LBR,4070167,4181563,4286291,4390737,4499621
Libya,LBY,6193501,6198258,6195970,6204108,6234955
St. Lucia,LCA,173832,174835,175660,176421,177206
Latin America & Caribbean,LCN,603537118,610547919,617495658,624335544,631062661
Least developed countries: UN classification,LDC,869298106,890423474,912093996,934192321,956631108
Low income,LIC,575572515,591576162,607987351,624759914,641858608
Liechtenstein,LIE,36264,36545,36834,37127,37403
Sri Lanka,LKA,20315017,20425000,20585000,20771000,20966000
Lower middle income,LMC,2801003868,2843577252,2886312231,2929010331,2971878425
Low & middle income,LMY,5859997307,5937636120,6016214406,6095235753,6174437347
Lesotho,LSO,2064166,2089928,2117361,2145785,2174645
Late-demographic dividend,LTE,2196126123,2209695204,2223430941,2237202264,2250758316
Lithuania,LTU,3028115,2987773,2957689,2932367,2904910
Luxembourg,LUX,518347,530946,543360,556319,569604
Latvia,LVA,2059709,2034319,2012647,1993782,1977527
"Macao SAR, China",MAC,549439,562531,575841,588781,600942
St. Martin (French part),MAF,30615,30959,31264,31530,31754
Morocco,MAR,32858823,33333789,33824769,34318082,34803322
Monaco,MCO,37497,37783,37971,38132,38307
Moldova,MDA,3559986,3559519,3558566,3556397,3554108
Madagascar,MDG,21743949,22346573,22961146,23589801,24234088
Maldives,MDV,375131,386203,397397,408247,418403
Middle East & North Africa,MEA,396573248,404782447,412950407,421022841,428961724
Mexico,MEX,119090017,120828307,122535969,124221600,125890949
Marshall Islands,MHL,52542,52663,52793,52898,52994
Middle income,MIC,5284424792,5346059958,5408227055,5470475839,5532578739
"Macedonia, FYR",MKD,2072383,2074036,2075739,2077495,2079308
Mali,MLI,15540989,16006670,16477818,16962846,17467905
Malta,MLT,416268,419455,423374,427364,431874
Myanmar,MMR,50553031,50986514,51448196,51924182,52403669
Middle East & North Africa (excluding high income),MNA,341822043,348195697,354641044,361077997,367449306
Montenegro,MNE,620079,620601,621207,621810,622159
Mongolia,MNG,2761516,2814226,2869107,2923896,2976877
Northern Mariana Islands,MNP,53786,53718,54036,54468,54816
Mozambique,MOZ,24939005,25676606,26434372,27212382,28010691
Mauritania,MRT,3717672,3830239,3946170,4063920,4182341
Mauritius,MUS,1252404,1255882,1258653,1260934,1262605
Malawi,MWI,15627618,16097305,16577147,17068838,17573607
Malaysia,MYS,28635128,29170456,29706724,30228017,30723155
North America,NAC,346070702,348813722,351422279,354163943,356794381
Namibia,NAM,2215621,2263934,2316520,2370992,2425561
New Caledonia,NCL,254000,259000,263000,268000,272000
Niger,NER,17064636,17731634,18426372,19148219,19896965
Nigeria,NGA,162877076,167297284,171829303,176460502,181181744
Nicaragua,NIC,5807820,5877108,5945747,6013997,6082035
Netherlands,NLD,16693074,16754962,16804432,16865008,16939923
Norway,NOR,4953088,5018573,5079623,5137232,5190239
Nepal,NPL,27327147,27649925,27985310,28323241,28656282
Nauru,NRU,10057,10279,10821,11853,12475
New Zealand,NZL,4384000,4408100,4442100,4509700,4595700
OECD members,OED,1248769314,1256613484,1264720693,1273144197,1281415538
Oman,OMN,3237268,3464644,3711481,3960925,4199810
Other small states,OSS,26900149,27529022,28150486,28766825,29383324
Pakistan,PAK,174184265,177911533,181712595,185546257,189380513
Panama,PAN,3707782,3772938,3838462,3903986,3969249
Peru,PER,29759989,30158966,30565716,30973354,31376671
Philippines,PHL,95277940,96866642,98481032,100102249,101716359
Palau,PLW,20599,20758,20920,21094,21288
Papua New Guinea,PNG,7269348,7430836,7592865,7755785,7919825
Poland,POL,38063255,38063164,38040196,38011735,37986412
Pre-demographic dividend,PRE,760942116,783505835,806705375,830442736,854646007
Puerto Rico,PRI,3678732,3634488,3593077,3534874,3473181
"Korea, Dem. People’s Rep.",PRK,24722298,24854034,24985976,25116363,25243917
Portugal,PRT,10557560,10514844,10457295,10401062,10358076
Paraguay,PRY,6293783,6379219,6465740,6552584,6639119
West Bank and Gaza,PSE,3927051,4046901,4169506,4294682,4422143
Pacific island small states,PSS,2242763,2271298,2300045,2329458,2358955
Post-demographic dividend,PST,1078083258,1082731938,1087577484,1092623699,1097600621
French Polynesia,PYF,269843,271703,273528,275484,277690
Qatar,QAT,1952054,2109568,2250473,2374419,2481539
Romania,ROU,20147528,20058035,19983693,19908979,19815481
Russian Federation,RUS,142960868,143201676,143506911,143819666,144096870
Rwanda,RWA,10516071,10788853,11065151,11345357,11629553
South Asia,SAS,1653798614,1676615491,1699310450,1721847786,1744199944
Saudi Arabia,SAU,28238020,29086357,29944476,30776722,31557144
Sudan,SDN,35167314,35990192,36849918,37737913,38647803
Senegal,SEN,13300910,13703513,14120320,14546111,14976994
Singapore,SGP,5183688,5312437,5399162,5469724,5535002
Solomon Islands,SLB,539614,551531,563513,575504,587482
Sierra Leone,SLE,6611692,6766103,6922079,7079162,7237025
El Salvador,SLV,6192560,6221246,6250777,6281189,6312478
San Marino,SMR,31504,31914,32303,32657,32960
Somalia,SOM,12404725,12763776,13132349,13513125,13908129
Serbia,SRB,7234099,7199077,7164132,7130576,7095383
Sub-Saharan Africa (excluding high income),SSA,901902485,926951572,952644123,978926559,1005756630
South Sudan,SSD,10448857,10818258,11177490,11530971,11882136
Sub-Saharan Africa,SSF,901989926,927039875,952734072,979017918,1005850049
Small states,SST,36171934,36874449,37569419,38258962,38947227
Sao Tome and Principe,STP,178800,182889,187045,191266,195553
Suriname,SUR,531589,537077,542540,547928,553208
Slovak Republic,SVK,5398384,5407579,5413393,5418649,5423801
Slovenia,SVN,2052843,2057159,2059953,2061980,2063531
Sweden,SWE,9449213,9519374,9600379,9696110,9799186
Swaziland,SWZ,1225258,1248158,1271456,1295097,1319011
Sint Maarten (Dutch part),SXM,33435,34640,36607,37685,38824
Seychelles,SYC,87441,88303,89949,91359,93419
Syrian Arab Republic,SYR,20863993,20420701,19809141,19203090,18734987
Turks and Caicos Islands,TCA,31731,32431,33108,33739,34339
Chad,TCD,12288651,12705135,13133589,13569438,14009413
East Asia & Pacific (IDA & IBRD countries),TEA,1955546907,1969762859,1984152637,1998686391,2013132699
Europe & Central Asia (IDA & IBRD countries),TEC,443585208,445769749,448166840,450522686,452962149
Togo,TGO,6679282,6859482,7042948,7228915,7416802
Thailand,THA,67530130,67843979,68143065,68416772,68657600
Tajikistan,TJK,7815949,7995062,8177809,8362745,8548651
Turkmenistan,TKM,5174061,5267839,5366277,5466241,5565284
Latin America & the Caribbean (IDA & IBRD countries),TLA,587315129,594330743,601277206,608136047,614891969
Timor-Leste,TLS,1131523,1156760,1184366,1212814,1240977
Middle East & North Africa (IDA & IBRD countries),TMN,337894992,344148796,350471538,356783315,363027163
Tonga,TON,104577,104951,105328,105782,106364
South Asia (IDA & IBRD),TSA,1653798614,1676615491,1699310450,1721847786,1744199944
Sub-Saharan Africa (IDA & IBRD countries),TSS,901989926,927039875,952734072,979017918,1005850049
Trinidad and Tobago,TTO,1334788,1341588,1348248,1354493,1360092
Tunisia,TUN,10761467,10886668,11014558,11143908,11273661
Turkey,TUR,73409455,74569867,75787333,77030628,78271472
Tuvalu,TUV,10628,10725,10819,10908,11001
Tanzania,TZA,47570902,49082997,50636595,52234869,53879957
Uganda,UGA,35093648,36306796,37553726,38833338,40144870
Ukraine,UKR,45706100,45593300,45489600,45271947,45154029
Upper middle income,UMC,2483420924,2502482706,2521914824,2541465508,2560700314
Uruguay,URY,3385624,3396777,3408005,3419546,3431552
United States,USA,311663358,313998379,316204908,318563456,320896618
Uzbekistan,UZB,29339400,29774500,30243200,30757700,31298900
St. Vincent and the Grenadines,VCT,109341,109328,109320,109357,109455
"Venezuela, RB",VEN,29463291,29893080,30317848,30738378,31155134
British Virgin Islands,VGB,27901,28509,29056,29588,30113
Virgin Islands (U.S.),VIR,108292,108191,108044,107884,107710
Vietnam,VNM,89436644,90451881,91497725,92544915,93571567
Vanuatu,VUT,241871,247485,253142,258850,264603
World,WLD,7014998805,7099548883,7185078354,7271228018,7357369754
Samoa,WSM,187665,189194,190757,192290,193759
Kosovo,XKX,1791000,1805200,1824100,1821800,1801800
"Yemen, Rep.",YEM,24252206,24909969,25576322,26246327,26916207
South Africa,ZAF,52263516,52998213,53767396,54539571,55291225
Zambia,ZMB,14264756,14699937,15153210,15620974,16100587
Zimbabwe,ZWE,14386649,14710826,15054506,15411675,15777451