Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Chile,2012,0.88,Gram,n/a,n/a,https://data.unodc.org/#state:23
Russian Federation,2015,417,Gram,,,
Czechia,2012,137.8,Gram,,,
Estonia,2014,"1,373",Gram,,,
Latvia,2014,154.49,Gram,,,
Latvia,2011,252.66,Gram,,,
Lithuania,2012,731,Gram,,,
Canada,2014,20.15,Kilogram,,,
Canada,2013,20,Kilogram,,,
Canada,2012,27.9,Kilogram,,,
Canada,2011,32.54,Kilogram,,,
Mexico,2014,180,Kilogram,,,
United States of America,2015,151.65,Kilogram,,,
United States of America,2014,277,Kilogram,,,
United States of America,2013,68.51,Kilogram,,,
United States of America,2012,94.51,Kilogram,,,
United States of America,2011,"1,399.57",Kilogram,,,
Argentina,2015,"113,732.29",Kilogram,,,
Argentina,2014,"118,087.71",Kilogram,,,
Argentina,2013,"87,677.69",Kilogram,,,
Argentina,2012,"94,702",Kilogram,,,
Argentina,2011,"3,049.73",Kilogram,,,
Bolivia (Plurinational State of),2014,"149,616",Kilogram,,,
Bolivia (Plurinational State of),2013,"475,547",Kilogram,,,
Bolivia (Plurinational State of),2012,"739,884",Kilogram,,,
Bolivia (Plurinational State of),2013,97.1,Kilogram,,,
Bolivia (Plurinational State of),2012,0.09,Kilogram,,,
Bolivia (Plurinational State of),2011,0.2,Kilogram,,,
Chile,2015,250.5,Kilogram,,,
Chile,2014,341.48,Kilogram,,,
Chile,2013,94.65,Kilogram,,,
Colombia,2015,"775,910.24",Kilogram,,,
Colombia,2014,"532,974.14",Kilogram,,,
Colombia,2013,"314,788",Kilogram,,,
Colombia,2012,"718,991.53",Kilogram,,,
Colombia,2011,"1,022,532",Kilogram,,,
Ecuador,2013,0.27,Kilogram,,,
Ecuador,2012,2.18,Kilogram,,,
Ecuador,2011,0.17,Kilogram,,,
Peru,2015,"126,900",Kilogram,,,
Peru,2014,581,Kilogram,,,
Peru,2013,"13,900",Kilogram,,,
Peru,2011,"2,377,906.70",Kilogram,,,
Uruguay,2011,2.5,Kilogram,,,
Japan,2012,0.01,Kilogram,,,
Russian Federation,2012,1.63,Kilogram,,,
Bulgaria,2015,0.5,Kilogram,,,
Romania,2012,0.36,Kilogram,,,
Romania,2011,0.2,Kilogram,,,
Czechia,2014,1.7,Kilogram,,,
France,2015,198,Kilogram,,,
Greece,2013,5.56,Kilogram,,,
Greece,2012,0.25,Kilogram,,,
Italy,2015,0.73,Kilogram,,,
Italy,2014,0.34,Kilogram,,,
Italy,2013,0.09,Kilogram,,,
Italy,2011,0.45,Kilogram,,,
Latvia,2013,0.21,Kilogram,,,
Lithuania,2015,0.06,Kilogram,,,
Norway,2015,0.1,Kilogram,,,
Norway,2014,0.21,Kilogram,,,
Norway,2012,0.87,Kilogram,,,
Norway,2011,0.02,Kilogram,,,
Portugal,2013,0.17,Kilogram,,,
Portugal,2012,2.68,Kilogram,,,
Portugal,2011,0.001,Kilogram,,,
Spain,2015,11.63,Kilogram,,,
Spain,2014,27.54,Kilogram,,,
Spain,2013,22,Kilogram,,,
Spain,2012,31.65,Kilogram,,,
Spain,2011,10.43,Kilogram,,,
Sweden,2015,1.1,Kilogram,,,
Sweden,2014,3.3,Kilogram,,,
Sweden,2013,5.4,Kilogram,,,
Sweden,2012,1.6,Kilogram,,,
Sweden,2011,3.9,Kilogram,,,
Switzerland,2015,1.12,Kilogram,,,
Switzerland,2014,3.37,Kilogram,,,
Switzerland,2013,7.39,Kilogram,,,
Switzerland,2012,2.09,Kilogram,,,
Switzerland,2011,5,Kilogram,,,
Australia,2015,142.81,Kilogram,,,
Australia,2014,114.66,Kilogram,,,
Australia,2013,199.09,Kilogram,,,
Australia,2012,14.56,Kilogram,,,
Australia,2011,10.98,Kilogram,,,
New Zealand,2013,163.2,Kilogram,,,
New Zealand,2012,0.03,Kilogram,,,