Country,Cocaine-type,Retail level price typical,Year
Kenya,Crack,39.1,2015
Morocco,Crack,,
Botswana,Crack,10,2014
Burkina Faso,Crack,56,2008
C̫te d'Ivoire,Crack,5.9,2009
Namibia,Crack,14.2,2007
South Africa,Crack,7,2009
Zimbabwe,Crack,80,2008
Bahamas,Crack,10,2008
Cuba,Crack,,2009
Dominica,Crack,55,2005
Dominican Republic,Crack,2.7,2010
Saint Kitts and Nevis,Crack,7.4,2009
Saint Vincent and the Grenadines,Crack,1.8,2008
Canada,Crack,86,2014
Costa Rica,Crack,1.4,2015
El Salvador,Crack,10,2015
Guatemala,Crack,9.4,2014
Honduras,Crack,2.5,2008
Panama,Crack,1,2005
United States of America,Crack,,2015
Brazil,Crack,6,2005
Guyana,Crack,6,2009
Paraguay,Crack,10,2008
Venezuela (Bolivarian Republic of),Crack,1.2,2006
Bahrain,Crack,266.8,2008
Saudi Arabia,Crack,,2015
"Hong Kong SAR, China",Crack,176.8,2013
Philippines,Crack,,
Ukraine,Crack,250,2007
Andorra,Crack,,2010
Austria,Crack,111.7,2011
Belgium,Crack,54.8,2007
Bosnia and Herzegovina,Crack,27.1,2010
Bulgaria,Crack,,
France,Crack,27.4,2007
Germany,Crack,74.7,2015
Gibraltar,Crack,129.4,2008
Hungary,Crack,75,2011
Ireland,Crack,105.3,2014
Malta,Crack,72.4,2014
Norway,Crack,,
Poland,Crack,94.3,2006
Portugal,Crack,,
Turkey,Crack,,2014
United Kingdom,Crack,88.9,2015