Country,Year,Past Year Prevalence,Definition,Interpretation,Link
Andorra,2015,1,n/a,n/a,https://data.unodc.org/#state:32
Bulgaria,2015,15.8,,,
Croatia,2015,12.9,,,
Slovakia,2015,11,,,
Sweden,2015,49.07,,,
Colombia,2015,31.9,,,
Kenya,2015,,,,
Lebanon,2015,55.3,,,
"China, Macao SAR",2015,31.88,,,
Sri Lanka,2015,,,,
Croatia,2014,12.9,,,
Italy,2014,22.7,,,
Latvia,2014,27.9,,,
Lithuania,2014,12.3,,,
Portugal,2014,,,,
Russian Federation,2014,12.35,,,
Slovakia,2014,18.7,,,
Slovenia,2014,23.7,,,
Sweden,2014,47.27,,,
El Salvador,2014,20,,,
Australia,2014,,,,
New Zealand,2014,3.7,,,
Kenya,2014,,,,
Lebanon,2014,38.4,,,
Sri Lanka,2014,,,,
Croatia,2014,12.9,,,
Czechia,2014,,,,
Czechia,2014,41,,,
Ireland,2014,,,,
Italy,2014,22.7,,,
Latvia,2014,17.1,,,
Lithuania,2014,12.3,,,
Norway,2014,,,,
Portugal,2014,25.9,,,
Russian Federation,2014,12.35,,,
Slovakia,2014,18.7,,,
Slovenia,2014,23.7,,,
El Salvador,2014,20,,,
Australia,2014,,,,
New Zealand,2014,3.7,,,
Kenya,2014,,,,
Israel,2014,60,,,
Lebanon,2014,38.4,,,
Croatia,2013,12.4,,,
Italy,2013,23.79,,,
Lithuania,2013,12.17,,,
Slovakia,2013,18.7,,,
Slovenia,2013,21.3,,,
Sweden,2013,48,,,
New Zealand,2013,4.5,,,
Bulgaria,2013,,,,
Moldova (Republic of),2013,2.7,,,
United Kingdom (Scotland),2013,,,,
Indonesia,2013,37.83,,,
Bulgaria,2013,,,,
Moldova (Republic of),2013,2.7,,,
United Kingdom (Scotland),2013,,,,
Indonesia,2013,37.83,,,
Czechia,2012,,,,
Czechia,2012,37.7,,,
Spain,2012,,,,
Argentina,2012,26.5,,,
Chile,2012,12.2,,,
Australia,2012,,,,
Israel,2012,51.8,,,
Czechia,2012,,,,
Czechia,2012,37.7,,,
Spain,2012,,,,
Argentina,2012,26.5,,,
Chile,2012,12.2,,,
Australia,2012,,,,
Israel,2012,51.8,,,
Czechia,2012,,,,
Czechia,2012,37.7,,,
Spain,2012,,,,
Argentina,2012,26.5,,,
Chile,2012,12.2,,,
Mexico,2012,,,,
Australia,2012,,,,
Israel,2012,51.8,,,
Pakistan,2012,4.27,,,
Bosnia and Herzegovina,2011,,,,
Germany,2011,33,,,
Ireland,2011,,,,
Lithuania,2011,,,,
Romania,2011,2,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Canada,2011,56.72,,,
Malaysia,2011,39,,,
Myanmar,2011,30,,,
Bosnia and Herzegovina,2011,,,,
Germany,2011,33,,,
Ireland,2011,,,,
Lithuania,2011,,,,
Romania,2011,2,,,
Spain,2011,,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Malaysia,2011,39,,,
Myanmar,2011,30,,,
Bosnia and Herzegovina,2011,,,,
Bosnia and Herzegovina,2011,7,,,
Ireland,2011,,,,
Lithuania,2011,,,,
Romania,2011,2,,,
Spain,2011,,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Malaysia,2011,39,,,
Myanmar,2011,30,,,