Country,Mechanism,2011,2012,2013,2014,2015,Definition,Interpretation,Link
South Sudan,Sharp %,,1 %,,,,,,
Egypt,Sharp %,19 %,,,,,,,
South Africa,Sharp %,,,,,,,,
Bahamas,Sharp %,17 %,,,,,,,
Dominican Republic,Sharp %,25 %,25 %,,,,,,
Grenada,Sharp %,75 %,71 %,,,,,,
Jamaica,Sharp %,19 %,,,,,,,
Saint Vincent and the Grenadines,Sharp %,,,,,,,,
Trinidad and Tobago,Sharp %,16 %,,,,,,,
Belize,Sharp %,33 %,,,,,,,
Costa Rica,Sharp %,19 %,19 %,,,,,,
El Salvador,Sharp %,18 %,21 %,,,,,,
Honduras,Sharp %,10 %,,,,,,,
Nicaragua,Sharp %,,,,,,,,
Panama,Sharp %,16 %,17 %,,,,,,
Canada,Sharp %,37 %,,,,,,,
United States of America (the),Sharp %,12 %,11 %,,,,,,
Chile,Sharp %,32 %,,,,,,,
Colombia,Sharp %,14 %,,,,,,,
Guyana,Sharp %,45 %,,,,,,,
Uruguay,Sharp %,34 %,,,,,,,
"China, Hong Kong SAR",Sharp %,,,,,,,,
Mongolia,Sharp %,35 %,,,,,,,
Armenia,Sharp %,26 %,,,,,,,
Azerbaijan,Sharp %,,,,,,,,
Cyprus,Sharp %,33 %,26 %,,,,,,
Bulgaria,Sharp %,24 %,35 %,,,,,,
Czech Republic,Sharp %,47 %,,,,,,,
Hungary,Sharp %,46 %,36 %,,,,,,
Finland,Sharp %,43 %,35 %,,,,,,
Iceland,Sharp %,33 %,100 %,,,,,,
United Kingdom (England and Wales),Sharp %,39 %,,,,,,,
United Kingdom (Northern Ireland),Sharp %,35 %,,,,,,,
United Kingdom (Scotland),Sharp %,58 %,,,,,,,
Albania,Sharp %,19 %,,,,,,,
Andorra,Sharp %,,,,,,,,
Bosnia and Herzegovina,Sharp %,8 %,,,,,,,
Croatia,Sharp %,35 %,37 %,,,,,,
Italy,Sharp %,,,,,,,,
Malta,Sharp %,33 %,25 %,,,,,,
Montenegro,Sharp %,14 %,,,,,,,
Serbia,Sharp %,18 %,17 %,,,,,,
Slovenia,Sharp %,6 %,43 %,,,,,,
Spain,Sharp %,36 %,39 %,,,,,,
The former Yugoslav Republic of Macedonia,Sharp %,7 %,,,,,,,
Austria,Sharp %,38 %,,,,,,,
Liechtenstein,Sharp %,,,,,,,,
Luxembourg,Sharp %,50 %,,,,,,,
Switzerland,Sharp %,28 %,,,,,,,
Australia,Sharp %,,,,,,,,
New Zealand,Sharp %,41 %,34 %,,,,,,