Country,Year,Past 12 months,Definition,Interpretation,Link
Canada,2010/11,5.8,n/a,n/a,https://data.unodc.org/#state:23
South Africa,2011,,,,
Bahamas,2011,,,,
Dominica,2011,,,,
United States of America,2011,4.5,,,
Argentina,2011,1.4,,,
Chile,2011,1.18,,,
Colombia,2011,0.79,,,
Uruguay,2011,0.3,,,
"China, Hong Kong SAR",2011,,,,
Indonesia,2011,0.37,,,
Indonesia,2011,0.34,,,
Moldova (Republic of),2011,0.6,,,
Russian Federation,2011,1.2,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,0.7,,,
Bulgaria,2011,3.2,,,
Montenegro,2011,2.4,,,
Romania,2011,1.4,,,
Serbia,2011,,,,
Belgium,2011,0.6,,,
Cyprus,2011,3,,,
Czechia,2011,1.5,,,
Denmark,2011,,,,
England,2011,2.3,,,
Estonia,2011,,,,
Finland,2011,,,,
France,2011,1.4,,,
Germany,2011,,,,
Germany,2011,0.2,,,
Iceland,2011,1,,,
Ireland,2011,2,,,
Latvia,2011,2.3,,,
Liechtenstein,2011,,,,
Lithuania,2011,,,,
Malta,2011,2,,,
Netherlands,2011,,,,
Norway,2011,1,,,
Portugal,2011,3,,,
Slovenia,2011,,,,
South Africa,2011/12,,,,
Costa Rica,2012,0.52,,,
El Salvador,2012,0,,,
United States of America,2012,3,,,
Colombia,2012,0.75,,,
Ecuador,2012,0.5,,,
Peru,2012,1,,,
Kazakhstan,2012,1,,,
Belgium,2012,1,,,
Cyprus,2012,0.1,,,
England,2012,2.4,,,
Italy,2012,0.5,,,
Poland,2012,2.2,,,
Spain,2012,2.2,,,
Canada,2012/13,2.5,,,
Belgium,2012/13,1.5,,,
Antigua and Barbuda,2013,,,,
Barbados,2013,,,,
Grenada,2013,,,,
Jamaica,2013,,,,
Saint Kitts and Nevis,2013,,,,
Saint Vincent and the Grenadines,2013,,,,
Trinidad and Tobago,2013,,,,
Panama,2013,0.18,,,
United States of America,2013,3.6,,,
Bolivia (Plurinational State of),2013,0.02,,,
Chile,2013,2.21,,,
Guyana,2013,,,,
Bulgaria,2013,3.1,,,
Denmark,2013,,,,
England,2013,1.8,,,
Estonia,2013,,,,
Finland,2013,,,,
Germany,2013,,,,
Italy,2013,0.53,,,
Latvia,2013,,,,
Poland,2013,1.4,,,
United Kingdom (Scotland),2013,2,,,
Australia,2013,3,,,
Belgium,2013/2014,1.1,,,
Haiti,2014,,,,
United States of America,2014,2.3,,,
Argentina,2014,1.6,,,
Paraguay,2014,0.7,,,
Uruguay,2014,0.8,,,
Venezuela (Bolivarian Republic of),2014,0.24,,,
England,2014,2.4,,,
France,2014,2.1,,,
Germany,2014,,,,
Netherlands,2014,,,,
Spain,2014,0.9,,,
Sweden,2014,,,,
Sweden,2014,,,,
Switzerland,2014,,,,
Switzerland,2014,,,,
Canada,2014/15,2.64,,,
Belgium,2014/2014,0.9,,,
Namibia,2015,,,,
Costa Rica,2015,0.71,,,
United States of America,2015,2.4,,,
Chile,2015,2.57,,,
Georgia,2015,,,,
Indonesia,2015,0.02,,,
Moldova (Republic of),2015,,,,
Albania,2015,,,,
Bulgaria,2015,,,,
Croatia,2015,,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Romania,2015,1.4,,,
Austria,2015,,,,
Belgium,2015,,,,
Cyprus,2015,,,,
Czechia,2015,,,,
Denmark,2015,,,,
Estonia,2015,,,,
Faeroe Islands,2015,,,,
Finland,2015,,,,
France,2015,,,,
Greece,2015,1.11,,,
Hungary,2015,2.1,,,
Iceland,2015,,,,
Ireland,2015,,,,
Italy,2015,2.4,,,
Latvia,2015,1.2,,,
Liechtenstein,2015,,,,
Lithuania,2015,0.9,,,
Malta,2015,,,,
Monaco,2015,,,,
Netherlands,2015,,,,
Norway,2015,,,,
Poland,2015,,,,
Portugal,2015,1.6,,,
Slovakia,2015,2.2,,,
Slovenia,2015,,,,
Sweden,2015,,,,
Sweden,2015,,,,
United Kingdom (Scotland),2015,,,,